machine_names,json_template
title,"{""title"":""""}"
body,"{""body"":{""und"":[{""value"":""""}]}}"
field_contact_email,"{""field_contact_email"":{""und"":[{""value"":""""}]}}"
field_ddh_external_contact_email,"{""field_ddh_external_contact_email"":{""und"":[{""value"":""""}]}}"
field_ddh_harvest_src,"{""field_ddh_harvest_src"":{""und"":[{""tid"":""""}]}}"
field_ddh_harvest_sys_id,"{""field_ddh_harvest_sys_id"":{""und"":[{""value"":""""}]}}"
field_exception_s_,"{""field_exception_s_"":{""und"":[{""tid"":""""}]}}"
field_frequency,"{""field_frequency"":{""und"":[{""value"":""""}]}}"
field_granularity_list,"{""field_granularity_list"":{""und"":[{""tid"":""""}]}}"
field_license_wbddh,"{""field_license_wbddh"":{""und"":[{""tid"":""""}]}}"
field_tags,"{""field_tags"":{""und"":[{""tid"":""""}]}}"
field_topic,"{""field_topic"":{""und"":[{""tid"":""""}]}}"
field_wbddh_access_authority,"{""field_wbddh_access_authority"":{""und"":[{""value"":""""}]}}"
field_wbddh_acronym,"{""field_wbddh_acronym"":{""und"":[{""value"":""""}]}}"
field_wbddh_aggregation_method,"{""field_wbddh_aggregation_method"":[]}"
field_wbddh_base_period,"{""field_wbddh_base_period"":{""und"":[{""value"":""""}]}}"
field_wbddh_citation_text,"{""field_wbddh_citation_text"":{""und"":[{""value"":""""}]}}"
field_wbddh_collaborator_upi,"{""field_wbddh_collaborator_upi"":{""und"":[{""target_id"":""""}]}}"
field_wbddh_copyright,"{""field_wbddh_copyright"":{""und"":[{""value"":""""}]}}"
field_wbddh_country,"{""field_wbddh_country"":{""und"":[{""tid"":""""}]}}"
field_wbddh_data_class,"{""field_wbddh_data_class"":{""und"":[{""tid"":""""}]}}"
field_wbddh_data_collector,"{""field_wbddh_data_collector"":{""und"":[{""value"":""""}]}}"
field_wbddh_data_notes,"{""field_wbddh_data_notes"":{""und"":[{""value"":""""}]}}"
field_wbddh_data_type,"{""field_wbddh_data_type"":{""und"":[{""tid"":""""}]}}"
field_wbddh_deviations_sample,"{""field_wbddh_deviations_sample"":{""und"":[{""value"":""""}]}}"
field_wbddh_disclaimer,"{""field_wbddh_disclaimer"":{""und"":[{""value"":""""}]}}"
field_wbddh_disclosure_risk,"{""field_wbddh_disclosure_risk"":{""und"":[{""value"":""""}]}}"
field_wbddh_dsttl_upi,"{""field_wbddh_dsttl_upi"":{""und"":[{""target_id"":""""}]}}"
field_wbddh_ds_source,"{""field_wbddh_ds_source"":{""und"":[{""tid"":""""}]}}"
field_wbddh_economy_coverage,"{""field_wbddh_economy_coverage"":{""und"":[{""tid"":""""}]}}"
field_wbddh_embargo,"{""field_wbddh_embargo"":[]}"
field_wbddh_end_date,"{""field_wbddh_end_date"":{""und"":[{""value"":""""}]}}"
field_wbddh_estimate_sampling,"{""field_wbddh_estimate_sampling"":{""und"":[{""value"":""""}]}}"
field_wbddh_gps_ccsas,"{""field_wbddh_gps_ccsas"":{""und"":[{""tid"":""""}]}}"
field_wbddh_kind_of_data,"{""field_wbddh_kind_of_data"":{""und"":[{""value"":""""}]}}"
field_wbddh_languages_supported,"{""field_wbddh_languages_supported"":{""und"":[{""tid"":""""}]}}"
field_wbddh_mode_data_collection,"{""field_wbddh_mode_data_collection"":{""und"":[{""value"":""""}]}}"
field_wbddh_modified_date,"{""field_wbddh_modified_date"":{""und"":[{""value"":""""}]}}"
field_wbddh_next_expected_update,"{""field_wbddh_next_expected_update"":{""und"":[{""value"":""""}]}}"
field_wbddh_no_of_economies,"{""field_wbddh_no_of_economies"":{""und"":{""value"":""""}}}"
field_wbddh_organization,"{""field_wbddh_organization"":[]}"
field_wbddh_periodicity,"{""field_wbddh_periodicity"":{""und"":[{""value"":""""}]}}"
field_wbddh_primary_investigator,"{""field_wbddh_primary_investigator"":{""und"":[{""value"":""""}]}}"
field_wbddh_produced_by,"{""field_wbddh_produced_by"":{""und"":[{""value"":""""}]}}"
field_wbddh_publisher_name,"{""field_wbddh_publisher_name"":{""und"":[{""value"":""""}]}}"
field_wbddh_reference_id,"{""field_wbddh_reference_id"":{""und"":[{""value"":""""}]}}"
field_wbddh_reference_system,"{""field_wbddh_reference_system"":{""und"":[{""value"":""""}]}}"
field_wbddh_release_date,"{""field_wbddh_release_date"":{""und"":[{""value"":""""}]}}"
field_wbddh_response_rates,"{""field_wbddh_response_rates"":{""und"":[{""value"":""""}]}}"
field_wbddh_responsible,"{""field_wbddh_responsible"":{""und"":[{""value"":""""}]}}"
field_wbddh_sampling_procedure,"{""field_wbddh_sampling_procedure"":{""und"":[{""value"":""""}]}}"
field_wbddh_search_tags,"{""field_wbddh_search_tags"":{""und"":[{""value"":""""}]}}"
field_wbddh_series_information,"{""field_wbddh_series_information"":{""und"":[{""value"":""""}]}}"
field_wbddh_source,"{""field_wbddh_source"":{""und"":[{""tid"":""""}]}}"
field_wbddh_start_date,"{""field_wbddh_start_date"":{""und"":[{""value"":""""}]}}"
field_wbddh_statistical_concept,"{""field_wbddh_statistical_concept"":[]}"
field_wbddh_study_type,"{""field_wbddh_study_type"":{""und"":[{""value"":""""}]}}"
field_wbddh_subscription_date,"{""field_wbddh_subscription_date"":{""und"":[{""value"":"""",""value2"":""""}]}}"
field_wbddh_subtitle,"{""field_wbddh_subtitle"":{""und"":[{""value"":""""}]}}"
field_wbddh_terms_of_use,"{""field_wbddh_terms_of_use"":{""und"":[{""value"":""""}]}}"
field_wbddh_terms_of_use,"{""field_wbddh_terms_of_use"":{""und"":[{""value"":""""}]}}"
field_wbddh_time_periods,"{""field_wbddh_time_periods"":{""und"":[{""show_todate"":"""",""value"":"""",""value2"":""""}]}}"
field_wbddh_type_of_license,"{""field_wbddh_type_of_license"":{""und"":[{""value"":""""}]}}"
field_wbddh_unit_of_analysis,"{""field_wbddh_unit_of_analysis"":{""und"":[{""value"":""""}]}}"
field_wbddh_universe,"{""field_wbddh_universe"":{""und"":[{""value"":""""}]}}"
field_wbddh_update_frequency,"{""field_wbddh_update_frequency"":{""und"":[{""tid"":""""}]}}"
field_wbddh_update_schedule,"{""field_wbddh_update_schedule"":{""und"":[{""value"":""""}]}}"
field_wbddh_version_date,"{""field_wbddh_version_date"":{""und"":[{""value"":""""}]}}"
field_wbddh_version_description,"{""field_wbddh_version_description"":{""und"":[{""value"":""""}]}}"
field_wbddh_version_notes,"{""field_wbddh_version_notes"":{""und"":[{""value"":""""}]}}"
field_wbddh_weighting,"{""field_wbddh_weighting"":{""und"":[{""value"":""""}]}}"
moderation_next_state,"{""moderation_next_state"":""""}"
og_group_ref,"{""og_group_ref"":{""und"":[{""target_id"":"""",""field_mode"":""""}]}}"
type,"{""type"":""""}"
field_wbddh_questionnaires,"{""field_wbddh_questionnaires"":{""und"":[{""value"":""""}]}}"
field_wbddh_ds_embargo_date,"{""field_wbddh_ds_embargo_date"":{""und"":[{""value"":""""}]}}"
field_wbddh_funding_name,"{""field_wbddh_funding_name"":{""und"":[{""value"":""""}]}}"
